Main document: ./docs/81587 	 Potential Duplicates:[u'./docs/92385']
Main document: ./docs/81598 	 Potential Duplicates:[u'./docs/81599']
Main document: ./docs/81655 	 Potential Duplicates:[u'./docs/81684']
Main document: ./docs/81709 	 Potential Duplicates:[u'./docs/98137']
Main document: ./docs/81801 	 Potential Duplicates:[u'./docs/81802']
Main document: ./docs/81968 	 Potential Duplicates:[u'./docs/90037']
Main document: ./docs/82094 	 Potential Duplicates:[u'./docs/89141']
Main document: ./docs/82222 	 Potential Duplicates:[u'./docs/95238']
Main document: ./docs/82679 	 Potential Duplicates:[u'./docs/98802']
Main document: ./docs/82701 	 Potential Duplicates:[u'./docs/84306']
Main document: ./docs/82709 	 Potential Duplicates:[u'./docs/82801']
Main document: ./docs/82718 	 Potential Duplicates:[u'./docs/91312']
Main document: ./docs/82721 	 Potential Duplicates:[u'./docs/89861']
Main document: ./docs/82814 	 Potential Duplicates:[u'./docs/98799']
Main document: ./docs/82823 	 Potential Duplicates:[u'./docs/99048']
Main document: ./docs/82880 	 Potential Duplicates:[u'./docs/82882']
Main document: ./docs/83413 	 Potential Duplicates:[u'./docs/99626']
Main document: ./docs/83648 	 Potential Duplicates:[u'./docs/84769']
Main document: ./docs/83680 	 Potential Duplicates:[u'./docs/84259']
Main document: ./docs/83723 	 Potential Duplicates:[u'./docs/89158']
Main document: ./docs/83813 	 Potential Duplicates:[u'./docs/98031']
Main document: ./docs/84037 	 Potential Duplicates:[u'./docs/84040']
Main document: ./docs/84045 	 Potential Duplicates:[u'./docs/96371']
Main document: ./docs/84072 	 Potential Duplicates:[u'./docs/84972']
Main document: ./docs/84081 	 Potential Duplicates:[u'./docs/94571']
Main document: ./docs/84259 	 Potential Duplicates:[u'./docs/87690']
Main document: ./docs/84325 	 Potential Duplicates:[u'./docs/84370']
Main document: ./docs/85037 	 Potential Duplicates:[u'./docs/86016']
Main document: ./docs/85139 	 Potential Duplicates:[u'./docs/85846']
Main document: ./docs/86476 	 Potential Duplicates:[u'./docs/86559']
Main document: ./docs/86855 	 Potential Duplicates:[u'./docs/86893']
Main document: ./docs/87116 	 Potential Duplicates:[u'./docs/92549']
Main document: ./docs/87288 	 Potential Duplicates:[u'./docs/93845']
Main document: ./docs/87365 	 Potential Duplicates:[u'./docs/98145']
Main document: ./docs/87584 	 Potential Duplicates:[u'./docs/87585']
Main document: ./docs/88210 	 Potential Duplicates:[u'./docs/88418']
Main document: ./docs/88331 	 Potential Duplicates:[u'./docs/88341']
Main document: ./docs/88362 	 Potential Duplicates:[u'./docs/92549']
Main document: ./docs/88414 	 Potential Duplicates:[u'./docs/90478']
Main document: ./docs/88462 	 Potential Duplicates:[u'./docs/88939']
Main document: ./docs/88623 	 Potential Duplicates:[u'./docs/93794']
Main document: ./docs/88764 	 Potential Duplicates:[u'./docs/99012']
Main document: ./docs/88874 	 Potential Duplicates:[u'./docs/91056']
Main document: ./docs/88948 	 Potential Duplicates:[u'./docs/88951']
Main document: ./docs/89033 	 Potential Duplicates:[u'./docs/92549']
Main document: ./docs/89145 	 Potential Duplicates:[u'./docs/98452']
Main document: ./docs/89221 	 Potential Duplicates:[u'./docs/89924']
Main document: ./docs/89293 	 Potential Duplicates:[u'./docs/98034']
Main document: ./docs/89418 	 Potential Duplicates:[u'./docs/98257']
Main document: ./docs/89571 	 Potential Duplicates:[u'./docs/89573']
Main document: ./docs/89754 	 Potential Duplicates:[u'./docs/25666']
Main document: ./docs/89852 	 Potential Duplicates:[u'./docs/93822']
Main document: ./docs/90037 	 Potential Duplicates:[u'./docs/95238']
Main document: ./docs/90088 	 Potential Duplicates:[u'./docs/98145']
Main document: ./docs/90195 	 Potential Duplicates:[u'./docs/98202']
Main document: ./docs/90295 	 Potential Duplicates:[u'./docs/94685']
Main document: ./docs/90299 	 Potential Duplicates:[u'./docs/99012']
Main document: ./docs/90331 	 Potential Duplicates:[u'./docs/90338']
Main document: ./docs/90479 	 Potential Duplicates:[u'./docs/98452']
Main document: ./docs/90852 	 Potential Duplicates:[u'./docs/90872']
Main document: ./docs/90996 	 Potential Duplicates:[u'./docs/97788']
Main document: ./docs/91102 	 Potential Duplicates:[u'./docs/96371']
Main document: ./docs/91637 	 Potential Duplicates:[u'./docs/94571']
Main document: ./docs/91717 	 Potential Duplicates:[u'./docs/99700']
Main document: ./docs/92411 	 Potential Duplicates:[u'./docs/93312']
Main document: ./docs/92417 	 Potential Duplicates:[u'./docs/11266']
Main document: ./docs/92432 	 Potential Duplicates:[u'./docs/93498']
Main document: ./docs/92441 	 Potential Duplicates:[u'./docs/92664']
Main document: ./docs/92896 	 Potential Duplicates:[u'./docs/93103']
Main document: ./docs/93003 	 Potential Duplicates:[u'./docs/93004']
Main document: ./docs/93498 	 Potential Duplicates:[u'./docs/98003']
Main document: ./docs/93782 	 Potential Duplicates:[u'./docs/94618']
Main document: ./docs/93813 	 Potential Duplicates:[u'./docs/97938']
Main document: ./docs/93881 	 Potential Duplicates:[u'./docs/99633']
Main document: ./docs/94137 	 Potential Duplicates:[u'./docs/94140']
Main document: ./docs/94342 	 Potential Duplicates:[u'./docs/94343']
Main document: ./docs/94365 	 Potential Duplicates:[u'./docs/97751']
Main document: ./docs/94462 	 Potential Duplicates:[u'./docs/97349']
Main document: ./docs/94613 	 Potential Duplicates:[u'./docs/98306']
Main document: ./docs/94615 	 Potential Duplicates:[u'./docs/98156']
Main document: ./docs/94616 	 Potential Duplicates:[u'./docs/98554']
Main document: ./docs/94622 	 Potential Duplicates:[u'./docs/82830']
Main document: ./docs/94629 	 Potential Duplicates:[u'./docs/94630']
Main document: ./docs/94661 	 Potential Duplicates:[u'./docs/96470']
Main document: ./docs/95848 	 Potential Duplicates:[u'./docs/95885']
Main document: ./docs/96010 	 Potential Duplicates:[u'./docs/96371']
Main document: ./docs/96452 	 Potential Duplicates:[u'./docs/96453']
Main document: ./docs/96471 	 Potential Duplicates:[u'./docs/97855']
Main document: ./docs/96715 	 Potential Duplicates:[u'./docs/96721']
Main document: ./docs/97537 	 Potential Duplicates:[u'./docs/98132']
Main document: ./docs/97728 	 Potential Duplicates:[u'./docs/99046']
Main document: ./docs/97874 	 Potential Duplicates:[u'./docs/97875']
Main document: ./docs/97951 	 Potential Duplicates:[u'./docs/54121']
Main document: ./docs/97969 	 Potential Duplicates:[u'./docs/98102']
Main document: ./docs/97982 	 Potential Duplicates:[u'./docs/98142']
Main document: ./docs/97985 	 Potential Duplicates:[u'./docs/98214']
Main document: ./docs/98008 	 Potential Duplicates:[u'./docs/98102']
Main document: ./docs/98311 	 Potential Duplicates:[u'./docs/98312']
Main document: ./docs/98338 	 Potential Duplicates:[u'./docs/98339']
Main document: ./docs/98341 	 Potential Duplicates:[u'./docs/98350']
Main document: ./docs/98459 	 Potential Duplicates:[u'./docs/98460']
Main document: ./docs/98507 	 Potential Duplicates:[u'./docs/99626']
Main document: ./docs/98841 	 Potential Duplicates:[u'./docs/98911']
Main document: ./docs/99740 	 Potential Duplicates:[u'./docs/99741']
Main document: ./docs/99744 	 Potential Duplicates:[u'./docs/99745']
Main document: ./docs/99933 	 Potential Duplicates:[u'./docs/99931']
Main document: ./docs/103232 	 Potential Duplicates:[u'./docs/61065']
